Temperature - (Celsius), Year, Statistics, Country, ISO3
14.3884, 1949, Dec Average, Algeria, DZA
11.7406, 1950, Jan Average, Algeria, DZA
14.7299, 1950, Feb Average, Algeria, DZA
17.6024, 1950, Mar Average, Algeria, DZA
21.3517, 1950, Apr Average, Algeria, DZA
26.2641, 1950, May Average, Algeria, DZA
31.4782, 1950, Jun Average, Algeria, DZA
32.9179, 1950, Jul Average, Algeria, DZA
31.647, 1950, Aug Average, Algeria, DZA
28.7127, 1950, Sep Average, Algeria, DZA
23.2649, 1950, Oct Average, Algeria, DZA
18.1454, 1950, Nov Average, Algeria, DZA
12.66, 1950, Dec Average, Algeria, DZA
11.7817, 1951, Jan Average, Algeria, DZA
15.0645, 1951, Feb Average, Algeria, DZA
19.3507, 1951, Mar Average, Algeria, DZA
22.471, 1951, Apr Average, Algeria, DZA
25.9271, 1951, May Average, Algeria, DZA
31.4875, 1951, Jun Average, Algeria, DZA
32.7216, 1951, Jul Average, Algeria, DZA
32.3492, 1951, Aug Average, Algeria, DZA
28.7024, 1951, Sep Average, Algeria, DZA
22.284, 1951, Oct Average, Algeria, DZA
17.908, 1951, Nov Average, Algeria, DZA
13.0374, 1951, Dec Average, Algeria, DZA
11.1105, 1952, Jan Average, Algeria, DZA
13.6397, 1952, Feb Average, Algeria, DZA
19.4501, 1952, Mar Average, Algeria, DZA
21.8531, 1952, Apr Average, Algeria, DZA
26.3846, 1952, May Average, Algeria, DZA
32.1641, 1952, Jun Average, Algeria, DZA
32.9212, 1952, Jul Average, Algeria, DZA
31.8036, 1952, Aug Average, Algeria, DZA
28.3125, 1952, Sep Average, Algeria, DZA
24.2291, 1952, Oct Average, Algeria, DZA
17.9361, 1952, Nov Average, Algeria, DZA
12.9853, 1952, Dec Average, Algeria, DZA
11.1416, 1953, Jan Average, Algeria, DZA
13.9604, 1953, Feb Average, Algeria, DZA
16.805, 1953, Mar Average, Algeria, DZA
22.8375, 1953, Apr Average, Algeria, DZA
27.21, 1953, May Average, Algeria, DZA
30.2518, 1953, Jun Average, Algeria, DZA
32.5337, 1953, Jul Average, Algeria, DZA
31.71, 1953, Aug Average, Algeria, DZA
28.4638, 1953, Sep Average, Algeria, DZA
23.3944, 1953, Oct Average, Algeria, DZA
18.1409, 1953, Nov Average, Algeria, DZA
13.8083, 1953, Dec Average, Algeria, DZA
11.1468, 1954, Jan Average, Algeria, DZA
13.3783, 1954, Feb Average, Algeria, DZA
18.0511, 1954, Mar Average, Algeria, DZA
20.9961, 1954, Apr Average, Algeria, DZA
26.4424, 1954, May Average, Algeria, DZA
30.9284, 1954, Jun Average, Algeria, DZA
31.8029, 1954, Jul Average, Algeria, DZA
30.8242, 1954, Aug Average, Algeria, DZA
28.6717, 1954, Sep Average, Algeria, DZA
23.0332, 1954, Oct Average, Algeria, DZA
18.1856, 1954, Nov Average, Algeria, DZA
13.3198, 1954, Dec Average, Algeria, DZA
14.3062, 1955, Jan Average, Algeria, DZA
16.2934, 1955, Feb Average, Algeria, DZA
17.9072, 1955, Mar Average, Algeria, DZA
22.0463, 1955, Apr Average, Algeria, DZA
27.5454, 1955, May Average, Algeria, DZA
31.223, 1955, Jun Average, Algeria, DZA
33.0415, 1955, Jul Average, Algeria, DZA
32.0807, 1955, Aug Average, Algeria, DZA
28.7157, 1955, Sep Average, Algeria, DZA
23.4369, 1955, Oct Average, Algeria, DZA
18.6551, 1955, Nov Average, Algeria, DZA
14.0966, 1955, Dec Average, Algeria, DZA
12.7559, 1956, Jan Average, Algeria, DZA
13.3161, 1956, Feb Average, Algeria, DZA
17.4, 1956, Mar Average, Algeria, DZA
21.8524, 1956, Apr Average, Algeria, DZA
26.3321, 1956, May Average, Algeria, DZA
30.1904, 1956, Jun Average, Algeria, DZA
31.7807, 1956, Jul Average, Algeria, DZA
31.4702, 1956, Aug Average, Algeria, DZA
28.5734, 1956, Sep Average, Algeria, DZA
22.9286, 1956, Oct Average, Algeria, DZA
16.5806, 1956, Nov Average, Algeria, DZA
11.7373, 1956, Dec Average, Algeria, DZA
10.7412, 1957, Jan Average, Algeria, DZA
15.5959, 1957, Feb Average, Algeria, DZA
18.6228, 1957, Mar Average, Algeria, DZA
21.136, 1957, Apr Average, Algeria, DZA
25.4488, 1957, May Average, Algeria, DZA
30.1555, 1957, Jun Average, Algeria, DZA
32.0406, 1957, Jul Average, Algeria, DZA
32.0288, 1957, Aug Average, Algeria, DZA
29.0069, 1957, Sep Average, Algeria, DZA
22.7569, 1957, Oct Average, Algeria, DZA
17.0301, 1957, Nov Average, Algeria, DZA
12.5364, 1957, Dec Average, Algeria, DZA
12.5133, 1958, Jan Average, Algeria, DZA
15.8839, 1958, Feb Average, Algeria, DZA
18.6596, 1958, Mar Average, Algeria, DZA
22.0575, 1958, Apr Average, Algeria, DZA
27.2092, 1958, May Average, Algeria, DZA
30.974, 1958, Jun Average, Algeria, DZA
31.5732, 1958, Jul Average, Algeria, DZA
31.6815, 1958, Aug Average, Algeria, DZA
29.2469, 1958, Sep Average, Algeria, DZA
23.331, 1958, Oct Average, Algeria, DZA
17.0998, 1958, Nov Average, Algeria, DZA
14.6173, 1958, Dec Average, Algeria, DZA
12.8972, 1959, Jan Average, Algeria, DZA
14.3467, 1959, Feb Average, Algeria, DZA
19.1272, 1959, Mar Average, Algeria, DZA
22.3728, 1959, Apr Average, Algeria, DZA
26.3594, 1959, May Average, Algeria, DZA
30.9649, 1959, Jun Average, Algeria, DZA
32.6216, 1959, Jul Average, Algeria, DZA
31.6424, 1959, Aug Average, Algeria, DZA
28.8246, 1959, Sep Average, Algeria, DZA
23.1861, 1959, Oct Average, Algeria, DZA
17.4974, 1959, Nov Average, Algeria, DZA
13.2599, 1959, Dec Average, Algeria, DZA
11.997, 1960, Jan Average, Algeria, DZA
16.2542, 1960, Feb Average, Algeria, DZA
18.5272, 1960, Mar Average, Algeria, DZA
21.4451, 1960, Apr Average, Algeria, DZA
26.3649, 1960, May Average, Algeria, DZA
31.0915, 1960, Jun Average, Algeria, DZA
31.9707, 1960, Jul Average, Algeria, DZA
32.4234, 1960, Aug Average, Algeria, DZA
28.2638, 1960, Sep Average, Algeria, DZA
23.5842, 1960, Oct Average, Algeria, DZA
18.4782, 1960, Nov Average, Algeria, DZA
12.1638, 1960, Dec Average, Algeria, DZA
11.3273, 1961, Jan Average, Algeria, DZA
14.8065, 1961, Feb Average, Algeria, DZA
17.6368, 1961, Mar Average, Algeria, DZA
23.0749, 1961, Apr Average, Algeria, DZA
28.1311, 1961, May Average, Algeria, DZA
30.8597, 1961, Jun Average, Algeria, DZA
32.8581, 1961, Jul Average, Algeria, DZA
31.2297, 1961, Aug Average, Algeria, DZA
29.0917, 1961, Sep Average, Algeria, DZA
23.1397, 1961, Oct Average, Algeria, DZA
18.1795, 1961, Nov Average, Algeria, DZA
13.5272, 1961, Dec Average, Algeria, DZA
12.7263, 1962, Jan Average, Algeria, DZA
13.2628, 1962, Feb Average, Algeria, DZA
17.6823, 1962, Mar Average, Algeria, DZA
22.0074, 1962, Apr Average, Algeria, DZA
27.1896, 1962, May Average, Algeria, DZA
30.1832, 1962, Jun Average, Algeria, DZA
32.63, 1962, Jul Average, Algeria, DZA
32.0171, 1962, Aug Average, Algeria, DZA
29.336, 1962, Sep Average, Algeria, DZA
24.0729, 1962, Oct Average, Algeria, DZA
16.8764, 1962, Nov Average, Algeria, DZA
12.3891, 1962, Dec Average, Algeria, DZA
13.5216, 1963, Jan Average, Algeria, DZA
15.3063, 1963, Feb Average, Algeria, DZA
17.3994, 1963, Mar Average, Algeria, DZA
22.0083, 1963, Apr Average, Algeria, DZA
24.6561, 1963, May Average, Algeria, DZA
30.123, 1963, Jun Average, Algeria, DZA
32.6186, 1963, Jul Average, Algeria, DZA
31.9821, 1963, Aug Average, Algeria, DZA
28.2701, 1963, Sep Average, Algeria, DZA
22.6575, 1963, Oct Average, Algeria, DZA
18.0278, 1963, Nov Average, Algeria, DZA
14.3069, 1963, Dec Average, Algeria, DZA
11.8319, 1964, Jan Average, Algeria, DZA
15.1561, 1964, Feb Average, Algeria, DZA
19.3419, 1964, Mar Average, Algeria, DZA
21.3747, 1964, Apr Average, Algeria, DZA
27.5244, 1964, May Average, Algeria, DZA
31.0539, 1964, Jun Average, Algeria, DZA
32.3364, 1964, Jul Average, Algeria, DZA
31.5491, 1964, Aug Average, Algeria, DZA
29.0026, 1964, Sep Average, Algeria, DZA
23.0013, 1964, Oct Average, Algeria, DZA
16.6982, 1964, Nov Average, Algeria, DZA
12.688, 1964, Dec Average, Algeria, DZA
12.1461, 1965, Jan Average, Algeria, DZA
13.7861, 1965, Feb Average, Algeria, DZA
18.1498, 1965, Mar Average, Algeria, DZA
20.6101, 1965, Apr Average, Algeria, DZA
26.9473, 1965, May Average, Algeria, DZA
30.8758, 1965, Jun Average, Algeria, DZA
32.7202, 1965, Jul Average, Algeria, DZA
31.2479, 1965, Aug Average, Algeria, DZA
27.5357, 1965, Sep Average, Algeria, DZA
24.1654, 1965, Oct Average, Algeria, DZA
17.648, 1965, Nov Average, Algeria, DZA
13.167, 1965, Dec Average, Algeria, DZA
13.8968, 1966, Jan Average, Algeria, DZA
16.5218, 1966, Feb Average, Algeria, DZA
16.9593, 1966, Mar Average, Algeria, DZA
22.5736, 1966, Apr Average, Algeria, DZA
26.176, 1966, May Average, Algeria, DZA
31.0987, 1966, Jun Average, Algeria, DZA
32.2662, 1966, Jul Average, Algeria, DZA
32.3063, 1966, Aug Average, Algeria, DZA
28.453, 1966, Sep Average, Algeria, DZA
23.621, 1966, Oct Average, Algeria, DZA
16.2694, 1966, Nov Average, Algeria, DZA
12.4667, 1966, Dec Average, Algeria, DZA
11.2598, 1967, Jan Average, Algeria, DZA
14.7924, 1967, Feb Average, Algeria, DZA
18.0197, 1967, Mar Average, Algeria, DZA
21.7727, 1967, Apr Average, Algeria, DZA
26.8125, 1967, May Average, Algeria, DZA
29.8787, 1967, Jun Average, Algeria, DZA
32.6679, 1967, Jul Average, Algeria, DZA
32.0433, 1967, Aug Average, Algeria, DZA
28.4626, 1967, Sep Average, Algeria, DZA
23.705, 1967, Oct Average, Algeria, DZA
17.7877, 1967, Nov Average, Algeria, DZA
11.4904, 1967, Dec Average, Algeria, DZA
11.1771, 1968, Jan Average, Algeria, DZA
15.3833, 1968, Feb Average, Algeria, DZA
17.7726, 1968, Mar Average, Algeria, DZA
22.4173, 1968, Apr Average, Algeria, DZA
26.3007, 1968, May Average, Algeria, DZA
30.1507, 1968, Jun Average, Algeria, DZA
32.6686, 1968, Jul Average, Algeria, DZA
31.8954, 1968, Aug Average, Algeria, DZA
28.9264, 1968, Sep Average, Algeria, DZA
23.3867, 1968, Oct Average, Algeria, DZA
18.0767, 1968, Nov Average, Algeria, DZA
13.5313, 1968, Dec Average, Algeria, DZA
13.2292, 1969, Jan Average, Algeria, DZA
15.9079, 1969, Feb Average, Algeria, DZA
19.6435, 1969, Mar Average, Algeria, DZA
21.3025, 1969, Apr Average, Algeria, DZA
26.7302, 1969, May Average, Algeria, DZA
30.3352, 1969, Jun Average, Algeria, DZA
31.6294, 1969, Jul Average, Algeria, DZA
31.6035, 1969, Aug Average, Algeria, DZA
28.1802, 1969, Sep Average, Algeria, DZA
22.8283, 1969, Oct Average, Algeria, DZA
18.1463, 1969, Nov Average, Algeria, DZA
12.3048, 1969, Dec Average, Algeria, DZA
14.041, 1970, Jan Average, Algeria, DZA
15.0751, 1970, Feb Average, Algeria, DZA
17.5072, 1970, Mar Average, Algeria, DZA
21.8377, 1970, Apr Average, Algeria, DZA
25.9706, 1970, May Average, Algeria, DZA
30.9566, 1970, Jun Average, Algeria, DZA
32.4891, 1970, Jul Average, Algeria, DZA
32.225, 1970, Aug Average, Algeria, DZA
28.8858, 1970, Sep Average, Algeria, DZA
22.7909, 1970, Oct Average, Algeria, DZA
17.5275, 1970, Nov Average, Algeria, DZA
12.6733, 1970, Dec Average, Algeria, DZA
12.1714, 1971, Jan Average, Algeria, DZA
14.4632, 1971, Feb Average, Algeria, DZA
17.3694, 1971, Mar Average, Algeria, DZA
21.9508, 1971, Apr Average, Algeria, DZA
25.4383, 1971, May Average, Algeria, DZA
30.1797, 1971, Jun Average, Algeria, DZA
32.014, 1971, Jul Average, Algeria, DZA
32.2261, 1971, Aug Average, Algeria, DZA
28.3726, 1971, Sep Average, Algeria, DZA
22.5635, 1971, Oct Average, Algeria, DZA
16.0996, 1971, Nov Average, Algeria, DZA
12.9052, 1971, Dec Average, Algeria, DZA
11.8779, 1972, Jan Average, Algeria, DZA
15.1604, 1972, Feb Average, Algeria, DZA
17.8271, 1972, Mar Average, Algeria, DZA
21.0611, 1972, Apr Average, Algeria, DZA
24.7566, 1972, May Average, Algeria, DZA
29.9413, 1972, Jun Average, Algeria, DZA
32.2963, 1972, Jul Average, Algeria, DZA
31.2588, 1972, Aug Average, Algeria, DZA
28.322, 1972, Sep Average, Algeria, DZA
23.3476, 1972, Oct Average, Algeria, DZA
17.6165, 1972, Nov Average, Algeria, DZA
12.4249, 1972, Dec Average, Algeria, DZA
11.4944, 1973, Jan Average, Algeria, DZA
13.4601, 1973, Feb Average, Algeria, DZA
16.5431, 1973, Mar Average, Algeria, DZA
21.6384, 1973, Apr Average, Algeria, DZA
27.7463, 1973, May Average, Algeria, DZA
31.084, 1973, Jun Average, Algeria, DZA
32.7047, 1973, Jul Average, Algeria, DZA
32.036, 1973, Aug Average, Algeria, DZA
29.1827, 1973, Sep Average, Algeria, DZA
23.0453, 1973, Oct Average, Algeria, DZA
17.1962, 1973, Nov Average, Algeria, DZA
12.3473, 1973, Dec Average, Algeria, DZA
12.1599, 1974, Jan Average, Algeria, DZA
13.8166, 1974, Feb Average, Algeria, DZA
17.7478, 1974, Mar Average, Algeria, DZA
20.7767, 1974, Apr Average, Algeria, DZA
27.1926, 1974, May Average, Algeria, DZA
30.7764, 1974, Jun Average, Algeria, DZA
31.7991, 1974, Jul Average, Algeria, DZA
31.5488, 1974, Aug Average, Algeria, DZA
28.6526, 1974, Sep Average, Algeria, DZA
21.5212, 1974, Oct Average, Algeria, DZA
16.4914, 1974, Nov Average, Algeria, DZA
12.0299, 1974, Dec Average, Algeria, DZA
11.5838, 1975, Jan Average, Algeria, DZA
14.1865, 1975, Feb Average, Algeria, DZA
17.1904, 1975, Mar Average, Algeria, DZA
21.8703, 1975, Apr Average, Algeria, DZA
25.4363, 1975, May Average, Algeria, DZA
30.2213, 1975, Jun Average, Algeria, DZA
32.7032, 1975, Jul Average, Algeria, DZA
32.0769, 1975, Aug Average, Algeria, DZA
28.041, 1975, Sep Average, Algeria, DZA
22.8577, 1975, Oct Average, Algeria, DZA
16.3314, 1975, Nov Average, Algeria, DZA
13.4233, 1975, Dec Average, Algeria, DZA
10.9939, 1976, Jan Average, Algeria, DZA
13.8993, 1976, Feb Average, Algeria, DZA
16.1512, 1976, Mar Average, Algeria, DZA
20.6377, 1976, Apr Average, Algeria, DZA
25.742, 1976, May Average, Algeria, DZA
30.4181, 1976, Jun Average, Algeria, DZA
32.4068, 1976, Jul Average, Algeria, DZA
31.9752, 1976, Aug Average, Algeria, DZA
28.2131, 1976, Sep Average, Algeria, DZA
22.7235, 1976, Oct Average, Algeria, DZA
16.1136, 1976, Nov Average, Algeria, DZA
13.8693, 1976, Dec Average, Algeria, DZA
13.2603, 1977, Jan Average, Algeria, DZA
15.71, 1977, Feb Average, Algeria, DZA
18.4902, 1977, Mar Average, Algeria, DZA
22.5065, 1977, Apr Average, Algeria, DZA
26.1425, 1977, May Average, Algeria, DZA
30.3267, 1977, Jun Average, Algeria, DZA
32.0444, 1977, Jul Average, Algeria, DZA
30.9306, 1977, Aug Average, Algeria, DZA
28.0499, 1977, Sep Average, Algeria, DZA
23.58, 1977, Oct Average, Algeria, DZA
17.1517, 1977, Nov Average, Algeria, DZA
13.7831, 1977, Dec Average, Algeria, DZA
12.3108, 1978, Jan Average, Algeria, DZA
16.6038, 1978, Feb Average, Algeria, DZA
18.4142, 1978, Mar Average, Algeria, DZA
21.9183, 1978, Apr Average, Algeria, DZA
26.1611, 1978, May Average, Algeria, DZA
29.9932, 1978, Jun Average, Algeria, DZA
32.1605, 1978, Jul Average, Algeria, DZA
31.7568, 1978, Aug Average, Algeria, DZA
28.2227, 1978, Sep Average, Algeria, DZA
22.4163, 1978, Oct Average, Algeria, DZA
16.7758, 1978, Nov Average, Algeria, DZA
14.7719, 1978, Dec Average, Algeria, DZA
14.9923, 1979, Jan Average, Algeria, DZA
15.1827, 1979, Feb Average, Algeria, DZA
18.3875, 1979, Mar Average, Algeria, DZA
21.017, 1979, Apr Average, Algeria, DZA
26.2201, 1979, May Average, Algeria, DZA
31.2049, 1979, Jun Average, Algeria, DZA
32.6999, 1979, Jul Average, Algeria, DZA
32.378, 1979, Aug Average, Algeria, DZA
28.7355, 1979, Sep Average, Algeria, DZA
23.9822, 1979, Oct Average, Algeria, DZA
16.632, 1979, Nov Average, Algeria, DZA
12.8418, 1979, Dec Average, Algeria, DZA
12.8363, 1980, Jan Average, Algeria, DZA
15.4817, 1980, Feb Average, Algeria, DZA
18.09, 1980, Mar Average, Algeria, DZA
21.9489, 1980, Apr Average, Algeria, DZA
26.1083, 1980, May Average, Algeria, DZA
31.0448, 1980, Jun Average, Algeria, DZA
31.8259, 1980, Jul Average, Algeria, DZA
32.2626, 1980, Aug Average, Algeria, DZA
29.2481, 1980, Sep Average, Algeria, DZA
23.2176, 1980, Oct Average, Algeria, DZA
18.0269, 1980, Nov Average, Algeria, DZA
11.2281, 1980, Dec Average, Algeria, DZA
10.2983, 1981, Jan Average, Algeria, DZA
14.0619, 1981, Feb Average, Algeria, DZA
19.6658, 1981, Mar Average, Algeria, DZA
22.7394, 1981, Apr Average, Algeria, DZA
26.8323, 1981, May Average, Algeria, DZA
31.1226, 1981, Jun Average, Algeria, DZA
31.896, 1981, Jul Average, Algeria, DZA
31.5525, 1981, Aug Average, Algeria, DZA
29.14, 1981, Sep Average, Algeria, DZA
24.4268, 1981, Oct Average, Algeria, DZA
17.2862, 1981, Nov Average, Algeria, DZA
14.5025, 1981, Dec Average, Algeria, DZA
12.7001, 1982, Jan Average, Algeria, DZA
14.4809, 1982, Feb Average, Algeria, DZA
18.1672, 1982, Mar Average, Algeria, DZA
22.4002, 1982, Apr Average, Algeria, DZA
26.4291, 1982, May Average, Algeria, DZA
32.5023, 1982, Jun Average, Algeria, DZA
34.112, 1982, Jul Average, Algeria, DZA
32.1459, 1982, Aug Average, Algeria, DZA
29.379, 1982, Sep Average, Algeria, DZA
23.3187, 1982, Oct Average, Algeria, DZA
16.4825, 1982, Nov Average, Algeria, DZA
11.7738, 1982, Dec Average, Algeria, DZA
10.8416, 1983, Jan Average, Algeria, DZA
14.3748, 1983, Feb Average, Algeria, DZA
18.2809, 1983, Mar Average, Algeria, DZA
22.8776, 1983, Apr Average, Algeria, DZA
27.2498, 1983, May Average, Algeria, DZA
31.6718, 1983, Jun Average, Algeria, DZA
33.4375, 1983, Jul Average, Algeria, DZA
32.1268, 1983, Aug Average, Algeria, DZA
29.5273, 1983, Sep Average, Algeria, DZA
23.5639, 1983, Oct Average, Algeria, DZA
19.0762, 1983, Nov Average, Algeria, DZA
13.219, 1983, Dec Average, Algeria, DZA
11.7899, 1984, Jan Average, Algeria, DZA
13.6704, 1984, Feb Average, Algeria, DZA
17.6361, 1984, Mar Average, Algeria, DZA
23.0691, 1984, Apr Average, Algeria, DZA
25.5829, 1984, May Average, Algeria, DZA
30.7751, 1984, Jun Average, Algeria, DZA
33.3776, 1984, Jul Average, Algeria, DZA
32.3076, 1984, Aug Average, Algeria, DZA
29.313, 1984, Sep Average, Algeria, DZA
22.5447, 1984, Oct Average, Algeria, DZA
17.8572, 1984, Nov Average, Algeria, DZA
12.7709, 1984, Dec Average, Algeria, DZA
11.6366, 1985, Jan Average, Algeria, DZA
16.1204, 1985, Feb Average, Algeria, DZA
17.6448, 1985, Mar Average, Algeria, DZA
22.1355, 1985, Apr Average, Algeria, DZA
25.9575, 1985, May Average, Algeria, DZA
31.9365, 1985, Jun Average, Algeria, DZA
32.9186, 1985, Jul Average, Algeria, DZA
32.2922, 1985, Aug Average, Algeria, DZA
28.9039, 1985, Sep Average, Algeria, DZA
23.6014, 1985, Oct Average, Algeria, DZA
18.6397, 1985, Nov Average, Algeria, DZA
12.8318, 1985, Dec Average, Algeria, DZA
11.6555, 1986, Jan Average, Algeria, DZA
15.0525, 1986, Feb Average, Algeria, DZA
17.6224, 1986, Mar Average, Algeria, DZA
22.2621, 1986, Apr Average, Algeria, DZA
27.632, 1986, May Average, Algeria, DZA
31.0349, 1986, Jun Average, Algeria, DZA
32.4871, 1986, Jul Average, Algeria, DZA
32.9128, 1986, Aug Average, Algeria, DZA
29.1193, 1986, Sep Average, Algeria, DZA
23.5764, 1986, Oct Average, Algeria, DZA
16.7903, 1986, Nov Average, Algeria, DZA
11.7452, 1986, Dec Average, Algeria, DZA
12.2442, 1987, Jan Average, Algeria, DZA
15.1383, 1987, Feb Average, Algeria, DZA
18.3515, 1987, Mar Average, Algeria, DZA
22.8078, 1987, Apr Average, Algeria, DZA
27.1009, 1987, May Average, Algeria, DZA
31.5011, 1987, Jun Average, Algeria, DZA
33.4496, 1987, Jul Average, Algeria, DZA
33.0889, 1987, Aug Average, Algeria, DZA
30.1579, 1987, Sep Average, Algeria, DZA
24.5236, 1987, Oct Average, Algeria, DZA
17.6398, 1987, Nov Average, Algeria, DZA
14.7297, 1987, Dec Average, Algeria, DZA
12.9706, 1988, Jan Average, Algeria, DZA
14.9092, 1988, Feb Average, Algeria, DZA
18.4972, 1988, Mar Average, Algeria, DZA
23.4144, 1988, Apr Average, Algeria, DZA
27.3802, 1988, May Average, Algeria, DZA
31.1779, 1988, Jun Average, Algeria, DZA
33.0336, 1988, Jul Average, Algeria, DZA
33.0161, 1988, Aug Average, Algeria, DZA
28.7503, 1988, Sep Average, Algeria, DZA
24.291, 1988, Oct Average, Algeria, DZA
17.9084, 1988, Nov Average, Algeria, DZA
11.3985, 1988, Dec Average, Algeria, DZA
11.3507, 1989, Jan Average, Algeria, DZA
14.0746, 1989, Feb Average, Algeria, DZA
18.4561, 1989, Mar Average, Algeria, DZA
21.8357, 1989, Apr Average, Algeria, DZA
26.7298, 1989, May Average, Algeria, DZA
31.2915, 1989, Jun Average, Algeria, DZA
33.2793, 1989, Jul Average, Algeria, DZA
32.6706, 1989, Aug Average, Algeria, DZA
29.9997, 1989, Sep Average, Algeria, DZA
24.367, 1989, Oct Average, Algeria, DZA
18.5291, 1989, Nov Average, Algeria, DZA
15.3185, 1989, Dec Average, Algeria, DZA
12.3732, 1990, Jan Average, Algeria, DZA
16.0801, 1990, Feb Average, Algeria, DZA
18.9214, 1990, Mar Average, Algeria, DZA
22.3917, 1990, Apr Average, Algeria, DZA
26.9925, 1990, May Average, Algeria, DZA
32.1414, 1990, Jun Average, Algeria, DZA
32.7935, 1990, Jul Average, Algeria, DZA
32.7218, 1990, Aug Average, Algeria, DZA
30.9229, 1990, Sep Average, Algeria, DZA
24.94, 1990, Oct Average, Algeria, DZA
18.1446, 1990, Nov Average, Algeria, DZA
12.6912, 1990, Dec Average, Algeria, DZA
11.1664, 1991, Jan Average, Algeria, DZA
14.174, 1991, Feb Average, Algeria, DZA
18.5296, 1991, Mar Average, Algeria, DZA
21.4247, 1991, Apr Average, Algeria, DZA
24.9652, 1991, May Average, Algeria, DZA
31.3115, 1991, Jun Average, Algeria, DZA
32.8771, 1991, Jul Average, Algeria, DZA
32.8113, 1991, Aug Average, Algeria, DZA
29.8762, 1991, Sep Average, Algeria, DZA
23.2806, 1991, Oct Average, Algeria, DZA
17.289, 1991, Nov Average, Algeria, DZA
12.4559, 1991, Dec Average, Algeria, DZA
11.1832, 1992, Jan Average, Algeria, DZA
14.2108, 1992, Feb Average, Algeria, DZA
17.6241, 1992, Mar Average, Algeria, DZA
22.0823, 1992, Apr Average, Algeria, DZA
26.2802, 1992, May Average, Algeria, DZA
30.199, 1992, Jun Average, Algeria, DZA
32.0305, 1992, Jul Average, Algeria, DZA
32.4091, 1992, Aug Average, Algeria, DZA
29.2854, 1992, Sep Average, Algeria, DZA
23.5152, 1992, Oct Average, Algeria, DZA
17.0743, 1992, Nov Average, Algeria, DZA
13.4084, 1992, Dec Average, Algeria, DZA
11.1081, 1993, Jan Average, Algeria, DZA
14.0828, 1993, Feb Average, Algeria, DZA
18.1451, 1993, Mar Average, Algeria, DZA
22.3345, 1993, Apr Average, Algeria, DZA
26.7201, 1993, May Average, Algeria, DZA
31.8372, 1993, Jun Average, Algeria, DZA
32.9739, 1993, Jul Average, Algeria, DZA
32.6232, 1993, Aug Average, Algeria, DZA
28.9556, 1993, Sep Average, Algeria, DZA
24.2347, 1993, Oct Average, Algeria, DZA
17.8684, 1993, Nov Average, Algeria, DZA
13.0249, 1993, Dec Average, Algeria, DZA
12.0745, 1994, Jan Average, Algeria, DZA
14.8165, 1994, Feb Average, Algeria, DZA
19.302, 1994, Mar Average, Algeria, DZA
22.0102, 1994, Apr Average, Algeria, DZA
27.9264, 1994, May Average, Algeria, DZA
31.7786, 1994, Jun Average, Algeria, DZA
33.6073, 1994, Jul Average, Algeria, DZA
33.3842, 1994, Aug Average, Algeria, DZA
28.6614, 1994, Sep Average, Algeria, DZA
23.7645, 1994, Oct Average, Algeria, DZA
18.4605, 1994, Nov Average, Algeria, DZA
13.2334, 1994, Dec Average, Algeria, DZA
11.1928, 1995, Jan Average, Algeria, DZA
15.4927, 1995, Feb Average, Algeria, DZA
18.3813, 1995, Mar Average, Algeria, DZA
22.146, 1995, Apr Average, Algeria, DZA
28.2134, 1995, May Average, Algeria, DZA
31.6549, 1995, Jun Average, Algeria, DZA
33.2127, 1995, Jul Average, Algeria, DZA
32.9244, 1995, Aug Average, Algeria, DZA
29.172, 1995, Sep Average, Algeria, DZA
24.3437, 1995, Oct Average, Algeria, DZA
18.4391, 1995, Nov Average, Algeria, DZA
15.1626, 1995, Dec Average, Algeria, DZA
14.3581, 1996, Jan Average, Algeria, DZA
14.7635, 1996, Feb Average, Algeria, DZA
18.3245, 1996, Mar Average, Algeria, DZA
22.3024, 1996, Apr Average, Algeria, DZA
26.9665, 1996, May Average, Algeria, DZA
31.1014, 1996, Jun Average, Algeria, DZA
32.8561, 1996, Jul Average, Algeria, DZA
32.44, 1996, Aug Average, Algeria, DZA
28.8549, 1996, Sep Average, Algeria, DZA
23.0623, 1996, Oct Average, Algeria, DZA
17.6697, 1996, Nov Average, Algeria, DZA
14.5081, 1996, Dec Average, Algeria, DZA
14.0072, 1997, Jan Average, Algeria, DZA
15.3666, 1997, Feb Average, Algeria, DZA
18.0956, 1997, Mar Average, Algeria, DZA
22.3766, 1997, Apr Average, Algeria, DZA
27.5145, 1997, May Average, Algeria, DZA
32.3161, 1997, Jun Average, Algeria, DZA
32.7512, 1997, Jul Average, Algeria, DZA
32.2839, 1997, Aug Average, Algeria, DZA
29.7485, 1997, Sep Average, Algeria, DZA
24.6577, 1997, Oct Average, Algeria, DZA
18.7613, 1997, Nov Average, Algeria, DZA
14.0274, 1997, Dec Average, Algeria, DZA
12.9891, 1998, Jan Average, Algeria, DZA
16.1383, 1998, Feb Average, Algeria, DZA
17.9956, 1998, Mar Average, Algeria, DZA
23.5586, 1998, Apr Average, Algeria, DZA
26.9485, 1998, May Average, Algeria, DZA
32.1976, 1998, Jun Average, Algeria, DZA
33.6834, 1998, Jul Average, Algeria, DZA
32.9381, 1998, Aug Average, Algeria, DZA
30.1132, 1998, Sep Average, Algeria, DZA
23.5631, 1998, Oct Average, Algeria, DZA
17.4184, 1998, Nov Average, Algeria, DZA
