"","date_data_unlist","auteur_data_unlist","titre_data_unlist","resume_data_unlist"
"44","Aout 2015","Maissa Bey","Hizya"," Littérature - Roman - 11.5 x 20.5 - 297p.Hizya a vingt-trois ans, elle vit à la Casbah, travaille dans un salon de coiffure depuis peu, n’a jamais connu l’amour et a un projet fou : vivre une aventure, mieux, une passion, comme l’héroïne éponyme du poème de Mohamed Ben Guittoun.Sans cesse rattrapée par ses doutes et son milieu – le quartier étriqué, la mère conformiste, le père enfermé dans le passé, les frères désoeuvrés –, Hizya adapte et réécrit le scénario de sa vie au gré des jours. Tourmentée par une voix intérieure qui la pousse dans ses retranchements, elle oscille entre fantasme et réalité. Transgresser ou se résigner, rentrer dans le rang ou se révolter : quelle option choisir ?Dans ce roman, visité par le magnifique poème « Hizya », Maissa Bey dresse avec une rare justesse le portrait d’une jeune femme d’aujourd’hui qui s’interroge sur son être au monde, sa capacité à écouter ses désirs et à transcender son quotidien.Une ode à la liberté, poignante et inspirée."
"45","Aout 2015","Amin Zaoui","<U+064A><U+0635><U+062D><U+0648> <U+0627><U+0644><U+062D><U+0631><U+064A><U+0631>"," Littérature - Roman.(<U+062D><U+0631><U+0648><U+0641> <U+0627><U+0644><U+0632><U+064A><U+0646>) <U+0647><U+064A> <U+0627><U+0644><U+0634><U+062E><U+0635><U+064A><U+0629> <U+0627><U+0644><U+0645><U+062D><U+0648><U+0631><U+064A><U+0629> <U+0641><U+064A> <U+0647><U+0630><U+0647> <U+0627><U+0644><U+0631><U+0648><U+0627><U+064A><U+0629><U+060C> <U+0648> <U+0625><U+0646> <U+0634><U+0626><U+062A> <U+0647><U+064A> (<U+0632><U+064A><U+0646><U+0629> <U+0627><U+0644><U+062D><U+0631><U+0648><U+0641>) <U+0628><U+062A><U+0639><U+0628><U+064A><U+0631> <U+0627><U+0644><U+0645><U+0648><U+0631><U+0648><U+062B> <U+0627><U+0644><U+0634><U+0639><U+0628><U+064A> <U+0639><U+0646> <U+062C><U+0645><U+0627><U+0644> <U+0645><U+0644><U+0627><U+0645><U+062D> <U+0627><U+0644><U+0648><U+062C><U+0647>. <U+0644><U+0643><U+0646> <U+0627><U+0644><U+062D><U+0631><U+0648><U+0641> <U+0640> <U+0647><U+0627> <U+0647><U+0646><U+0627> <U+0640>  <U+062A><U+062A><U+0639><U+062F><U+0649> <U+0627><U+0644><U+062D><U+0645><U+0627><U+0644> <U+0627><U+0644><U+062C><U+0633><U+062F><U+064A> <U+0625><U+0644><U+0649> <U+0645><U+062A><U+0639><U+0629> <U+0627><U+0644><U+062D><U+0643><U+064A>. <U+0643><U+0623><U+0646><U+0647><U+0627> <U+0635><U+0648><U+0631><U+0629> <U+0639><U+0646> <U+0634><U+0647><U+0631><U+0632><U+0627><U+062F> <U+062A><U+0633><U+0631><U+062F> <U+062D><U+0643><U+0627><U+064A><U+0629> <U+062A><U+062A><U+0646><U+0627><U+0633><U+0644> <U+0645><U+0646><U+0647><U+0627> <U+062D><U+0643><U+0627><U+064A><U+0627><U+062A> <U+0645><U+0633><U+062A><U+0648><U+062D><U+0627><U+0629> <U+0645><U+0646> <U+0648><U+0627><U+0642><U+0639> <U+0645><U+0645><U+0632><U+0648><U+062C> <U+0628><U+0627><U+0644><U+062E><U+064A><U+0627><U+0644>.<U+0646><U+062A><U+0646><U+0642><U+0644> <U+0645><U+0639> <U+0627><U+0644><U+0631><U+0648><U+0627><U+0626><U+064A> <U+0623><U+0645><U+064A><U+0646> <U+0627><U+0644><U+0632><U+0627><U+0648><U+064A> <U+0645><U+0646> <U+0648><U+0647><U+0631><U+0627><U+0646> <U+0625><U+0644><U+0649> <U+062A><U+0631><U+0643><U+064A><U+0627> <U+0641><U+0633><U+0648><U+0631><U+064A><U+0627> <U+062B><U+0645> <U+0646><U+0639><U+0648><U+062F> <U+0625><U+0644><U+0649> <U+0628><U+0634><U+0627><U+0631><U+060C> <U+0641><U+064A> <U+0631><U+062D><U+0644><U+0629> <U+062A><U+062D><U+062A><U+0630><U+0628><U+0646><U+0627> <U+0641><U+064A><U+0647><U+0627> <U+0643><U+0644> <U+062D><U+0643><U+0627><U+064A><U+0629> <U+0625><U+0644><U+0649> <U+0645><U+0644><U+0627><U+062D><U+0642><U+0629> <U+0623><U+062E><U+0631><U+0649><U+060C> <U+062A><U+0635><U+0627><U+062F><U+0641><U+0646><U+0627> (<U+0623><U+0641><U+0648><U+0627><U+0647> <U+0641><U+064A><U+0647><U+0627> <U+0631><U+0627><U+0626><U+062D><U+0629> <U+0627><U+0644><U+0628><U+0635><U+0644>)) <U+0648> <U+0634><U+062E><U+0635><U+064A><U+0627><U+062A> <U+062A><U+062A><U+062D><U+0633><U+0633> ((<U+0635><U+0647><U+064A><U+0644> <U+0627><U+0644><U+062C><U+0633><U+062F>))<U+0648> <U+0645><U+0646> <U+0645><U+0648><U+0636><U+0639> <U+0625><U+0644><U+0649> <U+0622><U+062E><U+0631> <U+0646><U+0644><U+0645><U+062D> <U+0635><U+0648><U+0631><U+0627> <U+0645><U+0646> <U+0627><U+0644><U+0646><U+0642><U+062F> <U+0627><U+0644><U+0627><U+062C><U+062A><U+0645><U+0627><U+0639><U+064A> <U+0648> <U+0627><U+0644><U+0633><U+064A><U+0627><U+0633><U+064A> <U+0648> <U+0645><U+0631><U+0627><U+062C><U+0639><U+0629> <U+0627><U+0644><U+062A><U+0627><U+0631><U+064A><U+062E><U+060C><U+0648> <U+0644><U+0643><U+0646><U+0647> <U+064A><U+0646><U+062A><U+0634><U+0644><U+0647><U+0627> <U+0645><U+0646> <U+0627><U+0644><U+0648><U+0627><U+0642><U+0639><U+064A><U+0629> <U+0627><U+0644><U+0641><U+062C><U+0629> <U+0628><U+0637><U+0631><U+064A><U+0642><U+062A><U+0647> <U+0627><U+0644><U+0645><U+0645><U+064A><U+0632><U+0629> <U+0641><U+064A> <U+0627><U+0644><U+0633><U+0631><U+062F><U+060C> <U+0648> <U+0628><U+0644><U+063A><U+062A><U+0647> <U+0627><U+0644><U+0633><U+0644><U+0633><U+0629> <U+0627><U+0644><U+062A><U+064A> <U+0647><U+064A> <U+0645><U+0623><U+0644><U+0648><U+0641><U+0629> <U+0648> <U+062A><U+0628><U+062F><U+0648> <U+063A><U+064A><U+0631> <U+0645><U+0623><U+0644><U+0648><U+0641><U+0629> <U+0641><U+064A> <U+0622><U+0646><U+060C> <U+0641><U+0636><U+0644><U+0627> <U+0639><U+0646> <U+062C><U+0631><U+0623><U+062A><U+0647> <U+0627><U+0644><U+0645><U+0639><U+0647><U+0648><U+062F><U+0629> <U+0641><U+064A> <U+0627><U+0644><U+0643><U+062A><U+0627><U+0628><U+0629>.<U+064A><U+0635><U+062D><U+0648> <U+0627><U+0644><U+062D><U+0631><U+064A><U+0631>: <U+0625><U+0646><U+0647> <U+0627><U+0644><U+0646><U+0635> <U+0627><U+0644><U+0623><U+062F><U+0628><U+064A> <U+0641><U+064A> <U+0628><U+0639><U+062F><U+0647> <U+0627><U+0644><U+0648><U+0637><U+0646><U+064A> <U+0648> <U+0627><U+0644><U+0625><U+0646><U+0633><U+0627><U+0646><U+064A><U+060C> <U+0648> <U+0647><U+064A> <U+0627><U+0644><U+0644><U+063A><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+062D><U+064A><U+0646> <U+062A><U+062A><U+062D><U+0631><U+0631> <U+0645><U+0646> <U+062C><U+0645><U+0648><U+062F><U+0647><U+0627> <U+0641><U+062A><U+0634><U+0647><U+062F> <U+0623><U+0646> <U+0627><U+0644><U+0643><U+062A><U+0627><U+0628><U+0629> <U+0627><U+0644><U+0631><U+0648><U+0627><U+0626><U+064A><U+0629> <U+0641><U+0633> <U+0628><U+0644><U+0627><U+062F><U+0646><U+0627> <U+0644><U+0627> <U+062A><U+0642><U+0644> <U+0642><U+064A><U+0645><U+0629> <U+0639><U+0645><U+0627> <U+0644><U+062F><U+0649> <U+063A><U+064A><U+0631><U+0646><U+0627><U+060C> <U+0648> <U+0647><U+0648> <U+0627><U+0644><U+0623><U+062F><U+0628> <U+062D><U+064A><U+0646> <U+064A><U+0635><U+062D><U+0648> <U+0643><U+0645><U+0627> <U+0641><U+064A> (( <U+064A><U+0635><U+062D><U+0648> <U+0627><U+0644><U+062D><U+0631><U+064A><U+0631>)).<U+0627><U+0644><U+0646><U+0627><U+0642><U+062F> <U+0627><U+0644><U+062F><U+0643><U+062A><U+0648><U+0631> <U+0645><U+062E><U+0644><U+0648><U+0641> <U+0639><U+0627><U+0645><U+0631>"
"46","Aout 2015","Malek Alloula","Dans tout ce blanc"," Poésie - 13 x 20.5 - 84p.Il y a d’abord ce long poème-transe jailli d’une source ignorée.Il y a plus tard ces invocations minutieuses qui content les tribulations des pluies, des vents, des hommes ancrés dans une terre à « l’immémoriale soif », « cette terre que nous parlons que nous parlerons/et que nous sommes devenus ».Il y a enfin cette courte séquence comme une queue d’averse qui serait bienfaisante.Il y a Dans tout ce blanc, cet ensemble des derniers écrits poétiques, dits « de Berlin », ville où Malek Alloula vivait depuis plusieurs mois, invité en résidence d’écriture, et où il est décédé en février 2015.Un homme est parti, d’une ombrageuse discrétion, à l’égal d’une œuvre poétique soucieuse de ne pas anéantir, sous la langue d’expression, cette part intime d’une histoire algérienne qui a tenu lieu d’encrier primordial."
"47","Juillet 2015","Yahia Belaskri","Les fils du jour"," Littérature - Roman - 11.5 x 20.5 - 232p.El Hadj, couvert d’un burnous blanc à la naissance, est bien le fils préféré du cheikh Moussa. Jeune homme fier, il assiste aux échanges entre son père, sage du village, et le lieutenant Rimbaud, arabophile et traducteur du Coran. Intrépide, impatient, il combat les envahisseurs avec rage. En vain. Seule consolation, la belle Agathe, une ravissante Espagnole chrétienne, vivant avec sa mère à Sebdou, dans la province de Tlemcen. Le mariage est controversé, Agathe se convertit à l’islam par amour et devient H’jira, la pierre précieuse..Ensemble, ils affrontent les revers de l’histoire, l'occupation française et les agressions. Soutenant les luttes de l’émir Abd el-Kader, ils partent, après sa défaite, pour Fès, Damas, La Mecque...Yahia Belaskri nous livre ici une saga familiale touchante et sensible."
"48","Mai 2015","Sylvie Arkoun","Les vies de Mohammed Arkoun"," Essai - 14 x 20 - 366p.« Mon père était un intellectuel célèbre dans tout le monde musulman : ce livre est à la fois le récit de son histoire personnelle et un hommage à ses combats. Car cet humaniste passionné, qui prônait une nouvelle vision de l’islam et de la notion de croyance, était un homme complexe et secret, déchiré par sa double appartenance algérienne et française, profondément blessé par le retour en force d’un fondamentalisme islamique ruinant ses espoirs d’une mondialisation religieuse pacifiée..Comment et pourquoi en vient-on à penser un Islam des Lumières ? L’année qui a suivi sa mort, j’ai décidé d’enquêter sur la vie de mon père. J’ai reconstitué, voyagé, questionné, rencontré. J’ai fait la connaissance de la partie kabyle de ma famille et me suis découvert des racines nouvelles….C’est le journal intime de cette enquête que je livre ici : l’enfance de Mohammed Arkoun, sa formation auprès des Pères Blancs, son arrivée en France en 1954, ses succès universitaires, la rencontre avec ma mère, la tourmente de la guerre d’Indépendance, les paradoxes romanesques de sa vie intime, les multiples facettes du personnage dont certaines que j’ignorais totalement, et par-dessus tout, le formidable message d’ouverture lancé à ses frères en religion. »"
"49","Mai 2015","Cheikh Khaled Bentounès","Thérapie de l'âme"," Essai - 135 x 205 - 264p.À la lumière des enseignements spirituels puisés dans la sagesse universelle du soufisme, le Cheikh Khaled Bentounès, guide spirituel de la confrérie Alâwiyya, nous invite à redécouvrir la dimension essentielle de notre nature originelle que notre conditionnement culturel a fini par occulter. La vision soufie de la thérapie de l’âme consiste à cheminer vers le centre de l’être par une éducation d’éveil des sens. Elle permet d’affranchir l’âme humaine de ses instincts, de ses peurs et de ses désirs illusoires. L’homme pourra alors prendre conscience du trésor précieux que recèle son être depuis le jour où Dieu a décidé, selon la tradition coranique, de faire de lui son Représentant (Khalîfa) sur terre. Assumant cette responsabilité, il coopère en toute confiance au dessein divin et à sa propre destinée.“Thérapie de l’âme” bouscule nombre d’idées reçues et nous interroge sur le fond de la nature humaine."
"50","Février 2015","Mohamed Khadda","Éléments pour un art nouveau ..."," Essai.« Voici, réunis dans cette livraison, le contenu de deux livrets que Mohamed Khadda avait publiés de son vivant, augmenté de textes parus ici ou là. Les deux livrets (Éléments pour un art nouveau, 1972 et Feuillets épars liés, 1983) sont aujourd’hui introuvables en librairie, quoique toujours cités dans la presse. Les autres textes sont disséminés dans des publications diverses et, de ce fait, difficiles d’accès. Il m’a donc paru nécessaire de rassembler et de remettre en circulation ces essais qui, désormais, font partie du corpus de documents portant sur l’activité culturelle initiée au moment de l’accession de l’Algérie à l’Indépendance. »Naget Khadda Vingt-quatre ans après sa disparition en mai 1991, une publication réunissant les textes les plus importants de Mohamed Khadda. Occasion, pour le lecteur, de (re)découvrir l’érudition et le talent d’essayiste de celui qui fut l’un des fondateurs de la peinture algérienne moderne."
"51","Février 2015","Abderrahmane Berrouane","Aux origines du MALG"," Essai.Rares sont les « Malgaches », les membres du fameux MALG (Ministère de l’Armement et des Liaisons générales) créé en 1960 par Abdelhafid Boussouf, qui ont livré leur témoignage écrit. Abderrahmane Berrouane, dit Saphar, est de ceux-là. Il lui aura sans doute fallu un certain courage pour oser écrire à la première personne et tenter de se défaire des réflexes de silence et de secret associés à ce groupe réputé pour son opacité.C’est avec une réelle sincérité que l’auteur entreprend de raconter son parcours : enfance à Relizane, révolte devant l’injustice coloniale, études de Sciences Politiques en France (Toulouse), interrompues en 1956 à la suite de l’appel à la grève générale pour rejoindre le maquis. Cette année-là, il gagne donc le Maroc et rencontre le charismatique Boussouf, dit Si Mabrouk. Il fera partie de la première promotion d’opérateurs radio, baptisée « promotion Zabana », effectuera plusieurs missions, au Maroc et en Tunisie, avant de diriger, la DVCR (Direction de la Vigilance et du Contre-Renseignement) et ce jusqu’à l’Indépendance.Abderrahmane Berrouane décrit chronologiquement la manière dont furent créés les services de renseignement algériens dans la guerre des ondes de l’information menée contre les Français. C’est l’occasion pour lui de convoquer des souvenirs très personnels qui ne manqueront pas de marquer le lecteur : ainsi de sa rencontre avec Si Mabrouk, saisissante ; du récit, très vivant, du recrutement en wilaya V et des conditions du stage de la promotion Zabana ; ou même de l’évocation de son désarroi et celui de ses collègues, à la Base Didouche, en Libye, lors de la crise GPRA/État-Major en 1962.Grâce à ces détails et anecdotes, qui situent la guerre à son échelle humaine, ce témoignage contribue à donner un nouvel éclairage sur les arcanes du MALG et à mieux comprendre les ressorts de cette organisation."
"52","Octobre 2014","Chawki Amari","L'Âne mort"," Littérature - Roman.Tissam, Lyès et Mounir sont en fuite à bord d’un Break bleu, un âne mort dans le coffre. Ces trois Algérois nonchalants et désabusés roulent en direction des montagnes kabyles.Leur périple étrange et intense sera rythmé par de multiples rencontres : Karim PDP alias « Karim Pas de Problème » ; nna Khadidja, l’authentique ancienne moudjahida ; Fu, le génial vulcanisateur chinois ; ou encore Izouzen, l’inquiétant libraire du Djurdjura. Ensemble, dans une ascension libératrice, ils se poseront des questions à la fois existentielles et loufoques entre autres sur la résistance et le changement, la pesanteur et la légèreté.Dans ce récit plein d’humour et de grâce, l’auteur puise dans ses références littéraires et scientifiques pour inventer une langue singulière et un univers extrêmement poétique ; il rend ici hommage à L’Âne d’or d’Apulée de Madaure, « premier romancier du monde, premier auteur algérien ».Chawki Amari nous convie dans ce nouveau roman à une exploration métaphysique de l’Algérie d’aujourd’hui, où l’on s’amuse de l’absurdité des situations tout en en constatant l’implacable justesse."
"53","Octobre 2014",NA,"Gazelle et compagnie"," Beau Livre..Tout le monde s'affaire et s'enthousiasme : on s'aprête à accueillir les cigognes voyageuses. Il faut vite préparer leur arrivée....Un conte généreux de Nadia Roman accompagné des dessins de Marion Jaulin, où se déploie un formidable bestiaire : de Djamel le fennec, à Amine le hyène, en passant par Lazhar le hérisson, sans oublier, bien sûr, les cigognes Radia, Jérôme, Mouloud et Isabelle.  "
"54","Octobre 2014","Mohand Sebkhi","Souvenirs d'un rescapé de la Wilaya 3"," Essai.Ceci est le témoignage de Mohand Sebkhi, anonyme parmi les anonymes. « Une voix d’en bas », comme la qualifie Daho Djerbal dans sa préface, lui qui a pris la peine de recueillir et de restituer le récit de ce moudjahid, héros de l’ombre par excellence. C’est en effet un « simple » agent de liaison de la wilaya 3 qui prend ici la parole et relate son enfance dans les montagnes de Kabylie, son quotidien misérable, sa prise de conscience de la violence du système colonial, et son engagement, dès 17 ans, dans la lutte de libération nationale. Le lecteur suivra toutes ces péripéties avec passion : captivé lorsqu’il raconte sa tentative solitaire et désespérée de rattraper Amirouche, en route pour la Tunisie, afin de lui transmettre un message qui l’aurait peut-être sauvé, horrifié quand il décrit les sévices qu’il subit pendant sa détention par les Français.Dans ce récit, Mohand Sebkhi raconte un pan de sa vie avec une intégrité qui confine parfois à l’innocence. Chaque anecdote rappelle que tous les combattants étaient d’abord des hommes : mus par des convictions, une foi et un courage hors norme, ils n’en avaient pas moins des doutes, des frayeurs (par exemple, en tant que témoin impuissant de la bleuite), et des lâchetés. L’auteur ne craint pas de rendre compte de cette complexité-là. Ce faisant, il donne à cette guerre toute son épaisseur, et rend ainsi possible l’élaboration et la transmission d’une mémoire commune. Celle qui dit aussi bien la grandeur et la petitesse, l’héroïsme et la faiblesse, la bravoure et la trahison. Un témoignage à hauteur d’homme, qui s’impose par son humilité et un désir de vérité si fort, si tendu, qu’on peut imaginer combien il en a coûté à son auteur."
"55","Octobre 2015","Yassine Temlali","Algérie-Kabylie"," Essai - 14.5 x 23 - 309p.Comment s’est construite l’affirmation berbère en Algérie et plus particulièrement dans le cas de la Kabylie ? Yassine Temlali, à rebours des clichés et des poncifs sur les problématiques régionalistes, entreprend de définir un cadre d’analyse rigoureux à partir de questionnements essentiels : Quelle était la situation réelle des communautés berbères à la veille de la conquête coloniale ? l’occupation française a-t-elle pu être un agent d’intégration des régions berbérophones à une nouvelle entité, l’Algérie ? la révolte de 1871 a-t-elle vraiment été une révolte kabyle ? Y a-t-il eu une « politique kabyle » de la France ? Y a-t-il eu au sein du FLN une guerre entre « Arabes » et « Kabyles » ? Comme l’écrit l’auteur « cette recherche tente de s’écarter des sentiers battus de l’essentialisation des identités culturelles, par définition flottantes et éphémères. Son objectif est de restituer le cadre historique dans lequel, entre 1830 et 1962, est née une conscience culturelle et politique berbère (kabyle), de façon concomitante avec la naissance de ces entités modernes que sont la nation algérienne, la Kabylie… » Un livre passionnant et salutaire qui entend dépasser la guerre des « récits identitaires » en Algérie."
"56","Octobre 2014","Amara Lakhous ","Querelle autour d'un petit cochon"," Littérature - Roman - 11.5 x 20.5.Scandale à San Salvario, dans le Turin populaire : un cochon a déambulé de nuit dans la mosquée du quartier. Musulmans, nationalistes et bientôt défenseurs des animaux, tous ulcérés, sollicitent la médiation d’Enzo Laganà, connu pour sa tolérance et son bon sens. Dans ce roman enlevé à l’humour caustique, Amara Lakhous dénonce la malhonnêteté d’une certaine presse, plus prompte à désigner des boucs émissaires qu’à analyser des phénomènes complexes. Ce faisant, c’est de la société occidentale qu’il dresse le tableau, dans son absurdité, sa lâcheté et son intolérance, face auxquelles seule une certaine forme de candeur têtue semble faire le poids."
"57","Octobre 2014","Jean-Charles Depaule","À travers le mur"," Architecture et Urbanisme - 150 x 230 - 208p.« Il s’agit de la façon dont les corps, les vues et les sons franchissent la frontière de l’habitation dans les villes de l’Orient arabe, Le Caire, Damas, Alep, Sanaa, Beyrouth ; de la manière que la vie quotidienne a d’y définir des territoires, de contrôler leurs limites, de négocier des passages ; et de l’espace sur lequel celle-ci prend appui ou achoppe, des lieux qu’elle investit, neutralise ou détourne. Il s’agit de murs, de portes, de fenêtres, de balcons, de gestes, de mouvements, de regards et de mots. »Ce livre s’attache aux arts de faire, aux seuils et aux ritualisations, mais aussi aux solutions constructives dont ils sont l’objet. Il accorde une attention particulière au langage : à la façon dont les dénominations et formules ordinaires, dont les proverbes et la littérature, de Adonis à Ghassan Zaqtan en passant par Naguib Mahfouz et Mahmoud Darwich, disent ce qu’il se passe « à travers le mur »."
"58","Octobre 2014","Francesco Gabrieli","Chroniques arabes des croisades"," Essai - 145 x 225 - 408p.Par la richesse de la matière, l’abondance des précisions et la teneur proprement littéraire, l’historiographie arabe des Croisades peut soutenir avantageusement la comparaison avec celle des chrétiens du Moyen Age. Ce livre veut aider le lecteur occidental à appréhender cette longue confrontation entre l’Islam et la chrétienté à travers les témoignages du “camp adverse”.Pour y parvenir, le grand arabisant italien Francesco Gabrieli a non seulement rassemblé des textes arabes traduits en français par les orientalistes du XXe siècle, mais également des textes jamais traduits, y compris des manuscrits inédits. Épopées, chroniques, portraits, tous les genres se succèdent afin d’éclairer les événements majeurs : siège de Tyr, prise et reconquête de Jérusalem, chute de Damiette, bataille de Tibériade, rencontres sous les murs d’Acre, sans oublier de longues années de paix armée, d’interminables négociations. Sont aussi précisés les grands profils : Baudouin II, Saladin, Nûr ad-Dîn et Zinkî, Saint Louis, Richard Cœur de Lion, les Templiers, Frédéric Barberousse, Baïbars...En parcourant ces pages et en les comparant aux récits des historiens chrétiens, on ne peut manquer de constater que cette guerre de deux cents ans, entrecoupée de fragiles trêves, n’a nullement servi, ni aux musulmans ni aux chrétiens, pour se connaître et apprécier les aspects les plus nobles de leurs fois respectives."
"59","Septembre 2014","Amin Zaoui","Le miel de la sieste"," Littérature - Roman - 11.5 x 20.5.Anzar Afaya souffre d’une malformation : ses testicules ont la particularité d’être asymétriques. Loin d’être une tare, cette anomalie se révèle un bienfait. Quand il malaxe ses deux boules, son esprit vagabonde et se peuple de réminiscences. Surgissent alors l’oncle Wardane, le coiffeur Langlizi, Hana-la-dodue ou encore At-taureau ; mais aussi Rachel, Ghita, Khira, les femmes aimées, semblant toutes se confondre en une seule : Malika sa cousine, ou peut-être sa sœur…Dans ce roman jubilatoire, Amin Zaoui se joue du lecteur. Il le conduit dans les méandres de récits enchâssés les uns dans les autres – divagations, fantasmes ou souvenirs réels ? – et pousse loin l’expérience du grotesque : Anzar, au crépuscule, hurle comme un loup ; un vrai chien, du nom de Socrate, jappe des slogans socialistes ; un homme, dans une photo, s’anime et prend la parole. Succession de métamorphoses, de situations absurdes, inquiétantes parfois et souvent loufoques.Ce livre est une célébration de l’outrance et de la poésie, un hommage érudit et ludique aux Mille et une nuits."
"60","Juin 2014","Djamila Amrane","Des femmes dans la guerre d'Algérie"," Essai.Intellectuelles et analphabètes, citadines et villageoises, des moudjahidate parlent de la guerre d’Indépendance : 88 entretiens, 88 combattantes, toutes compagnes de D. D. Amrane Minne, de la clandestinité, du maquis ou de prison. Ces témoignages ont d’ailleurs constitué une des sources de sa thèse récemment republiée (Les femmes algériennes dans la guerre, barzakh, 2014). « La plupart d’entre elles racontent pour la première fois cette expérience qui fut pourtant un moment fort de leur vie. Certaines écriront peut-être un jour leurs mémoires, mais ce seront des textes plus littéraires, plus élaborés, sans l’émotion déclenchée par le choix d’un souvenir surgi au cours d’une discussion entre sœurs de lutte » écrit l’auteur.Depuis, Eveline Safir Lavalette, Louisette Ighilahriz, Zohra Drif Bitat, et d’autres, ont en effet pris la plume et écrit, chacune à leur manière. Mais combien sont-elles ? Trop peu.C’est pourquoi, cinquante ans après l’Indépendance, la réédition de ce livre s’imposait."
"61","Juin 2014",NA,"Les femmes algériennes dans la guerre"," Essai.Thèse universitaire au départ, soutenue en 1988 devant un jury présidé par l’éminent professeur André Mandouze, cette investigation sociologique sur les militantes de la guerre de Libération nationale est un ouvrage de référence.Appelé à devenir un « classique dans le monde entier » (A. M.), ce livre allie rigueur scientifique et élégance du style, minutie et générosité. À l’inventaire complexe des femmes ayant participé à la guerre d’Algérie, Danièle Djamila Amrane Minne associe 88 entretiens avec ces dernières, témoignages à la simplicité bouleversante révélant leur courage, leur intelligence et leur engagement. L’auteur cependant n’hésite pas à clore son travail en soulignant la difficulté qu’a eue la société algérienne, après 1962, à reconnaître ce militantisme féminin. Un constat sonnant comme un avertissement lucide et nuancé.Un livre essentiel, à la richesse foisonnante, dont l’édition en Algérie s’imposait, cinquante ans après l’Indépendance."
"62","Juin 2014","Rachid Boudjedra","Printemps"," Littérature - Roman - 135 x 205 - 304p..Âgée de trente ans et ancienne championne du 400 mètres haies, Teldj enseigne la littérature érotique arabe à l’université d’Alger et ne cache pas son attirance pour les femmes. Elle s’éprend passionnément d’une jeune Espagnole venue chercher du travail dans la capitale algérienne.Traumatisée, très jeune, par l’assassinat de sa mère pendant la décennie noire, Teldj est fascinée par l’histoire du monde arabe sombrant dans une confusion qui la renvoie à son propre désarroi.Ce roman déroule un siècle (1914-2014) ravagé par des guerres effroyables et jalonné par des avancées fulgurantes que Teldj passe au crible de l’histoire avec chagrin et perplexité.Printemps est un roman puissant, plein de remous et de fureur, écrit dans un style poétique et âpre, où l’on retrouve la grande érudition et l’immense talent de l’auteur : c’est un cri d’alarme et de révolte."
"63","Mai 2014","Hajar Bali","Trop tard"," Littérature - Nouvelles.Dans ce recueil de nouvelles, le lecteur croisera un veuf fantasque et presque inconsolable, un adolescent rêveur passionné de football, une femme confiant ses désillusions à un cafard, un couple seul au monde tentant de déjouer la mort ou encore un poète en vogue impliqué dans un crime loufoque. Autant de « vies minuscules » traversées de drames ordinaires.Hajar Bali, explorant la nature humaine et ses travers, ainsi que la frontière ténue entre normalité et folie, se livre à un exercice d’observation cruel et jubilatoire. Comme hors du temps, happés par leur monde intérieur, souvent reclus dans leur appartement, ses personnages, bien qu’ancrés dans la réalité, sont un peu décalés, en légère discordance avec le monde. L’inquiétante et familière étrangeté qui émane d’eux les rend profondément attachants. Avec humour et un sens aigu de la dérision, jouant d’une alternance subtile entre trivialité et poésie, gravité et légèreté, l’auteur propose ici des textes élégants, tout à fait singuliers."
"64","Janvier 2014","Abdennour Ali Yahia","La crise berbère de 1949 "," Essai - 15 x 23 - 296p..A la mémoire de Ouali Bennaï et de Amar Ould-Hamouda, personnages hors du commun, monuments historiques sacrés d’une grande valeur militante, que l’on peut considérer comme les leaders les plus grands du mouvement national, des guides éclairés assassinés à la fleur de l’âge par leurs pairs, pour avoir porté haut et fort le flambeau de l’Amazighité forgée de larmes et de sang, pétrie de dignité, d’honneur, de fierté et d’éthique. Mourir pour la berbérie –Tamezgha, la patrie, noble et juste cause, présente dans leur vision, leur stratégie, leur esprit et leur cœur, dans leur démarche et dans leur action–, était leur destin. Leur sacrifice final pour cette terre d’Algérie qu’ils ont tant aimée, n’aura pas été vain, leur souvenir sera vivant et le devoir que chacune et chacun doit rendre à leur mémoire, est de poursuivre jusqu’à son terme l’œuvre à laquelle ils ont consacré leur vie jusqu’à ce que la mort les sépare. Ils attendent de nous de vivre pour eux, pour continuer leur combat et le réaliser. Vers leur mémoire montera la gratitude de la nation, qui les honorera et les fera entrer dans l’histoire, le jour où la démocratie aura droit de cité dans ce pays."
"65","Novembre 2013","Djilali Bencheikh","Mon frère ennemi"," Littérature - Roman.Un douar de l’Ouest algérien au tout début des années 50. Salim a 7ans, il attend avec angoisse et impatience sa circoncision. En même temps, s’ouvrent à lui les portes de l’école française, source de nouvelles inquiétudes, de nouveaux tourments. Chronique tendre et subtile, parfois cruelle, ce roman initiatique fait surgir une Algérie inattendue et peu connue, celle de l’intérieur. Incontestablement chargé d’une dimension documentaire où la petite histoire fait vivre la grande Histoire, il révèle une société rurale figée dans le sous-emploi et l’analphabétisme, soumise à la violence du système colonial, avant que la Révolution ne vienne bouleverser l’ordre établi. Un souffle épique traverse ce texte, où l’on entend gronder les rumeurs de la guerre d’Indépendance.Reste que l’écriture s’y déploie à un rythme débridé et jubilatoire. On y trouve en effet des pages truculentes qui évoquent les univers de Mouloud Feraoun et de Marcel Pagnol.Humour et autodérision sont les ingrédients de ce texte à la désarmante sincérité."
